T  Ainit D Etat
6 25 0.08  1
6 25 0.09  1
6 25 0.1  1
6 26 0  1
6 26 0.01  1
6 26 0.02  1
6 26 0.03  1
6 26 0.04  1
6 26 0.05  1
6 26 0.06  1
6 26 0.07  1
6 26 0.08  1
6 26 0.09  1
6 26 0.1  1
6 27 0  1
6 27 0.01  1
6 27 0.02  1
6 27 0.03  1
6 27 0.04  1
6 27 0.05  1
6 27 0.06  1
6 27 0.07  1
6 27 0.08  1
6 27 0.09  1
6 27 0.1  1
6 28 0  1
6 28 0.01  1
6 28 0.02  1
6 28 0.03  1
6 28 0.04  1
6 28 0.05  1
6 28 0.06  1
6 28 0.07  1
6 28 0.08  1
6 28 0.09  1
6 28 0.1  1
6 29 0  1
6 29 0.01  1
6 29 0.02  1
6 29 0.03  1
6 29 0.04  1
6 29 0.05  1
6 29 0.06  1
6 29 0.07  1
6 29 0.08  1
6 29 0.09  1
6 29 0.1  1
6 30 0  1
6 30 0.01  1
6 30 0.02  1
6 30 0.03  1
6 30 0.04  1
6 30 0.05  1
6 30 0.06  1
6 30 0.07  1
6 30 0.08  1
6 30 0.09  1
6 30 0.1  1
6 31 0  1
6 31 0.01  1
6 31 0.02  1
6 31 0.03  1
6 31 0.04  1
6 31 0.05  1
6 31 0.06  1
6 31 0.07  1
6 31 0.08  1
6 31 0.09  1
6 31 0.1  1
6 32 0  1
6 32 0.01  1
6 32 0.02  1
6 32 0.03  1
6 32 0.04  1
6 32 0.05  1
6 32 0.06  1
6 32 0.07  1
6 32 0.08  1
6 32 0.09  1
6 32 0.1  1
6 33 0  1
6 33 0.01  1
6 33 0.02  1
6 33 0.03  1
6 33 0.04  1
6 33 0.05  1
6 33 0.06  1
6 33 0.07  1
6 33 0.08  1
6 33 0.09  1
6 33 0.1  1
6 34 0  1
6 34 0.01  1
6 34 0.02  1
6 34 0.03  1
6 34 0.04  1
6 34 0.05  1
6 34 0.06  1
6 34 0.07  1
6 34 0.08  1
6 34 0.09  1
6 34 0.1  1
6 35 0  1
6 35 0.01  1
6 35 0.02  1
6 35 0.03  1
6 35 0.04  1
6 35 0.05  1
6 35 0.06  1
6 35 0.07  1
6 35 0.08  1
6 35 0.09  1
6 35 0.1  1
6 36 0  1
6 36 0.01  1
6 36 0.02  1
6 36 0.03  1
6 36 0.04  1
6 36 0.05  1
6 36 0.06  1
6 36 0.07  1
6 36 0.08  1
6 36 0.09  1
6 36 0.1  1
6 37 0  1
6 37 0.01  1
6 37 0.02  1
6 37 0.03  1
6 37 0.04  1
6 37 0.05  1
6 37 0.06  1
6 37 0.07  1
6 37 0.08  1
6 37 0.09  1
6 37 0.1  1
6 38 0  1
6 38 0.01  1
6 38 0.02  1
6 38 0.03  1
6 38 0.04  1
6 38 0.05  1
6 38 0.06  1
6 38 0.07  1
6 38 0.08  1
6 38 0.09  1
6 38 0.1  1
6 39 0  1
6 39 0.01  1
6 39 0.02  1
6 39 0.03  1
6 39 0.04  1
6 39 0.05  1
6 39 0.06  1
6 39 0.07  1
6 39 0.08  1
6 39 0.09  1
6 39 0.1  1
6 40 0  1
6 40 0.01  1
6 40 0.02  1
6 40 0.03  1
6 40 0.04  1
6 40 0.05  1
6 40 0.06  1
6 40 0.07  1
6 40 0.08  1
6 40 0.09  1
6 40 0.1  1
6 41 0  1
6 41 0.01  1
6 41 0.02  1
6 41 0.03  1
6 41 0.04  1
6 41 0.05  1
6 41 0.06  1
6 41 0.07  1
6 41 0.08  1
6 41 0.09  1
6 41 0.1  1
6 42 0  1
6 42 0.01  1
6 42 0.02  1
6 42 0.03  1
6 42 0.04  1
6 42 0.05  1
6 42 0.06  1
6 42 0.07  1
6 42 0.08  1
6 42 0.09  1
6 42 0.1  1
6 43 0  1
6 43 0.01  1
6 43 0.02  1
6 43 0.03  1
6 43 0.04  1
6 43 0.05  1
6 43 0.06  1
6 43 0.07  1
6 43 0.08  1
6 43 0.09  1
6 43 0.1  1
6 44 0  1
6 44 0.01  1
6 44 0.02  1
6 44 0.03  1
6 44 0.04  1
6 44 0.05  1
6 44 0.06  1
6 44 0.07  1
6 44 0.08  1
6 44 0.09  1
6 44 0.1  1
6 45 0  1
6 45 0.01  1
6 45 0.02  1
6 45 0.03  1
6 45 0.04  1
6 45 0.05  1
6 45 0.06  1
6 45 0.07  1
6 45 0.08  1
